"Date","NHSE_Region_Code","NHSE_Region_Name","Org code","Org name","Grade Sort Order","Grade","Specialty Group","Specialty","Total FTE"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Genito-urinary medicine","13.35000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Geriatric medicine","70.14039"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Infectious diseases",".80000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Medical oncology","21.70909"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Neurology","12.67500"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Other Specialties","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Renal medicine","24.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Respiratory medicine","22.15000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Rheumatology","9.30227"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Obstetrics & gynaecology","Obstetrics and Gynaecology","63.58890"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Paediatric group","Paediatrics","73.15000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Pathology group","Chemical pathology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Pathology group","Haematology","10.90000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Pathology group","Histopathology","18.02500"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Pathology group","Immunology","3.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Pathology group","Medical microbiology","11.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","PHM & CHS group","General Dental Practitioner","7.80000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Radiology group","Clinical radiology","87.09870"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Surgical group","Cardio-thoracic surgery","8.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Surgical group","General surgery","30.87727"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Surgical group","Neurosurgery","5.70000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Surgical group","Ophthalmology","15.50909"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Surgical group","Otolaryngology","19.21818"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Surgical group","Paediatric surgery","7.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Surgical group","Plastic surgery","13.60000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Surgical group","Trauma and orthopaedic surgery","44.37219"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Surgical group","Urology","12.57500"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Surgical group","Vascular Surgery","2.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","Anaesthetics","Anaesthetics","2.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","Dental group","Oral and Maxillofacial Surgery",".82500"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","Dental group","Orthodontics",".20000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","Dental group","Restorative dentistry",".18182"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","General medicine group","Cardiology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","General medicine group","Endocrinology and diabetes mellitus","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","General medicine group","General (internal) medicine",".70000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","General medicine group","Genito-urinary medicine","2.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","Obstetrics & gynaecology","Obstetrics and Gynaecology",".20000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","Surgical group","General surgery","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","Surgical group","Ophthalmology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","Surgical group","Otolaryngology","3.60000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","Surgical group","Paediatric surgery","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","Surgical group","Plastic surgery","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","Surgical group","Trauma and orthopaedic surgery","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","2","Associate Specialist","Surgical group","Urology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","Anaesthetics","Anaesthetics","15.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","Dental group","Oral and Maxillofacial Surgery",".80000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","Dental group","Oral Surgery","6.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","Dental group","Orthodontics",".40000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","Dental group","Paediatric dentistry",".81250"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","Dental group","Restorative dentistry","1.98000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","Emergency Medicine","Emergency Medicine","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","General medicine group","Acute Internal Medicine",".40000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","General medicine group","Cardiology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","General medicine group","Endocrinology and diabetes mellitus","1.60000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","General medicine group","Gastro-enterology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","General medicine group","General (internal) medicine","6.20000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","General medicine group","Genito-urinary medicine","1.50000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","General medicine group","Infectious diseases",".70000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","General medicine group","Medical oncology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","General medicine group","Other Specialties",".40000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","General medicine group","Respiratory medicine",".60000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","Obstetrics & gynaecology","Obstetrics and Gynaecology","6.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","Paediatric group","Paediatrics","4.60000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","Pathology group","Haematology","2.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","Radiology group","Clinical radiology","4.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","Surgical group","General surgery","3.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","Surgical group","Ophthalmology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","3","Specialty Doctor","Surgical group","Trauma and orthopaedic surgery","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","4","Staff Grade","Anaesthetics","Anaesthetics",".50000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","4","Staff Grade","General medicine group","Infectious diseases","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","4","Staff Grade","Obstetrics & gynaecology","Obstetrics and Gynaecology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Anaesthetics","Anaesthetics","118.73750"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Anaesthetics","Intensive care medicine","54.71250"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Clinical oncology","Clinical oncology","8.30000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Dental group","Oral and Maxillofacial Surgery","40.60000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Dental group","Oral Medicine","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Dental group","Oral Surgery",".20000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Dental group","Orthodontics",".80000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Dental group","Paediatric dentistry","3.80000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Dental group","Restorative dentistry","3.40000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Emergency Medicine","Emergency Medicine","114.80625"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Acute Internal Medicine","4.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Cardiology","100.23750"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Clinical neurophysiology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Clinical pharmacology and therapeutics","2.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Dermatology","10.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Endocrinology and diabetes mellitus","19.88125"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Gastro-enterology","21.13125"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","General (internal) medicine","19.10625"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","General Med Practitioner","14.01875"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Genito-urinary medicine","5.45000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Geriatric medicine","22.02700"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Infectious diseases","4.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Medical oncology","18.76875"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Neurology","6.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Other Specialties","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Palliative medicine","2.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Renal medicine","20.70000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Respiratory medicine","15.60000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Rheumatology","3.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","General medicine group","Sport and Exercise Medicine","3.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Obstetrics & gynaecology","Obstetrics and Gynaecology","78.48375"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Paediatric group","Paediatrics","119.62500"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Pathology group","Haematology","13.57500"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Pathology group","Histopathology","12.99375"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Pathology group","Immunology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Pathology group","Medical microbiology","13.87500"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Radiology group","Clinical radiology","40.01250"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Surgical group","Cardio-thoracic surgery","31.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Surgical group","General surgery","65.63125"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Surgical group","Neurosurgery","23.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Surgical group","Ophthalmology","15.80000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Surgical group","Otolaryngology","20.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Surgical group","Paediatric surgery","6.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Surgical group","Plastic surgery","22.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Surgical group","Trauma and orthopaedic surgery","69.17500"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","5","Specialty Registrar","Surgical group","Urology","13.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","Anaesthetics","Anaesthetics","26.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","Anaesthetics","Intensive care medicine","3.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","Dental group","Oral Surgery","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","Dental group","Paediatric dentistry","17.40000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","Dental group","Restorative dentistry","7.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","Dental group","Special Care Dentistry","4.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","Emergency Medicine","Emergency Medicine","21.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","General medicine group","Acute Internal Medicine","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","General medicine group","Cardiology","19.69375"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","General medicine group","Clinical pharmacology and therapeutics","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","General medicine group","Endocrinology and diabetes mellitus","8.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","General medicine group","Gastro-enterology","3.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","General medicine group","General (internal) medicine","19.82500"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","General medicine group","Geriatric medicine","12.86250"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","General medicine group","Infectious diseases","3.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","General medicine group","Medical oncology","2.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","General medicine group","Neurology","2.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","General medicine group","Renal medicine","2.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","General medicine group","Respiratory medicine","5.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","General medicine group","Rheumatology","2.91250"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","Obstetrics & gynaecology","Obstetrics and Gynaecology","4.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","Paediatric group","Paediatrics","3.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","Pathology group","Histopathology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","Surgical group","General surgery","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","Surgical group","Otolaryngology","13.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","6","Core Training","Surgical group","Trauma and orthopaedic surgery","4.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","Anaesthetics","Anaesthetics","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","Anaesthetics","Intensive care medicine","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","Emergency Medicine","Emergency Medicine","44.91875"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","General medicine group","Cardiology","2.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","General medicine group","Clinical pharmacology and therapeutics","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","General medicine group","Endocrinology and diabetes mellitus","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","General medicine group","Gastro-enterology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","General medicine group","General (internal) medicine","14.68125"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","General medicine group","Genito-urinary medicine","4.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","General medicine group","Geriatric medicine","7.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","General medicine group","Medical oncology","5.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","General medicine group","Neurology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","General medicine group","Renal medicine","4.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","General medicine group","Respiratory medicine","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","General medicine group","Rheumatology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","Obstetrics & gynaecology","Obstetrics and Gynaecology","7.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","Paediatric group","Paediatrics","7.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","Pathology group","Haematology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","Psychiatry group","General psychiatry","7.50000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","Surgical group","General surgery","3.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","Surgical group","Ophthalmology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","Surgical group","Otolaryngology","2.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","7","Foundation Doctor Year 2","Surgical group","Urology","2.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","Anaesthetics","Intensive care medicine","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","Emergency Medicine","Emergency Medicine","8.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","General medicine group","Cardiology","7.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","General medicine group","Endocrinology and diabetes mellitus","9.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","General medicine group","Gastro-enterology","6.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","General medicine group","General (internal) medicine","14.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","General medicine group","Geriatric medicine","14.58125"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","General medicine group","Medical oncology","1.67500"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","General medicine group","Palliative medicine","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","General medicine group","Respiratory medicine","8.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","General medicine group","Rheumatology","1.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","Obstetrics & gynaecology","Obstetrics and Gynaecology","3.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","Paediatric group","Paediatrics","2.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","Pathology group","Haematology","2.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","Psychiatry group","General psychiatry","8.80000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","Surgical group","General surgery","26.91875"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","Surgical group","Trauma and orthopaedic surgery","2.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","8","Foundation Doctor Year 1","Surgical group","Urology","5.92500"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","10","Other and Local HCHS Doctor Grades","Dental group","Orthodontics",".60000"
"2022-01-31","Y56","London","R1K","London North West University Healthcare NHS Trust","1","Consultant","Anaesthetics","Anaesthetics","59.00000"
"2022-01-31","Y56","London","R1K","London North West University Healthcare NHS Trust","1","Consultant","Clinical oncology","Clinical oncology",".62500"
"2022-01-31","Y56","London","R1K","London North West University Healthcare NHS Trust","1","Consultant","Dental group","Dental and Maxillofacial Radiology","1.00000"
"2022-01-31","Y56","London","R1K","London North West University Healthcare NHS Trust","1","Consultant","Dental group","Oral and Maxillofacial Pathology","1.00000"
"2022-01-31","Y56","London","R1K","London North West University Healthcare NHS Trust","1","Consultant","Dental group","Oral and Maxillofacial Surgery","12.35500"
"2022-01-31","Y56","London","R1K","London North West University Healthcare NHS Trust","1","Consultant","Dental group","Orthodontics","1.80000"
"2022-01-31","Y56","London","R1K","London North West University Healthcare NHS Trust","1","Consultant","Emergency Medicine","Emergency Medicine","29.45000"
"2022-01-31","Y56","London","R1K","London North West University Healthcare NHS Trust","1","Consultant","General medicine group","Acute Internal Medicine","1.00000"
"2022-01-31","Y56","London","R1K","London North West University Healthcare NHS Trust","1","Consultant","General medicine group","Cardiology","13.22727"
"2022-01-31","Y56","London","R1K","London North West University Healthcare NHS Trust","1","Consultant","General medicine group","Clinical genetics","8.65000"
"2022-01-31","Y56","London","R1K","London North West University Healthcare NHS Trust","1","Consultant","General medicine group","Clinical neurophysiology","1.50000"
"2022-01-31","Y56","London","R1K","London North West University Healthcare NHS Trust","1","Consultant","General medicine group","Dermatology","4.38750"
